time	value
2026-03-26 05:26:38.374	6.5
2026-03-26 05:27:38.911	5.6
2026-03-26 05:28:39.456	5.1
2026-03-26 05:29:40.235	5.1
2026-03-26 05:30:40.800	6.0
2026-03-26 05:31:41.369	5.2
2026-03-26 05:32:41.949	5.2
2026-03-26 05:33:42.789	11.4
2026-03-26 05:34:43.321	5.8
2026-03-26 05:35:43.913	5.5
2026-03-26 05:36:44.457	5.6
2026-03-26 05:37:45.069	6.4
2026-03-26 05:38:45.616	5.9
2026-03-26 05:39:46.202	5.8
2026-03-26 05:40:46.833	6.2
2026-03-26 05:41:47.404	5.8
2026-03-26 05:42:48.000	5.6
2026-03-26 05:43:48.581	6.4
2026-03-26 05:44:49.168	6.8
2026-03-26 05:45:49.778	6.1
2026-03-26 05:46:50.304	5.4
2026-03-26 05:47:50.945	5.8
2026-03-26 05:48:51.555	5.7
2026-03-26 05:49:52.170	8.4
2026-03-26 05:50:52.735	6.0
2026-03-26 05:51:53.249	7.3
2026-03-26 05:52:53.981	8.7
2026-03-26 05:53:54.619	5.7
2026-03-26 05:54:55.206	7.1
2026-03-26 05:55:55.771	5.4
2026-03-26 05:56:56.318	5.4
2026-03-26 05:57:56.906	5.8
2026-03-26 05:58:57.479	5.9
2026-03-26 05:59:58.014	5.6
2026-03-26 06:00:58.560	6.1
2026-03-26 06:01:59.051	5.6
2026-03-26 06:02:59.587	6.5
2026-03-26 06:04:00.119	5.9
2026-03-26 06:05:00.767	7.8
2026-03-26 06:06:01.337	5.5
2026-03-26 06:07:01.869	6.7
2026-03-26 06:08:02.399	5.2
2026-03-26 06:09:02.976	4.8
2026-03-26 06:10:03.543	5.9
2026-03-26 06:11:04.176	6.2
2026-03-26 06:12:04.733	5.9
2026-03-26 06:13:05.353	5.1
2026-03-26 06:14:05.934	5.8
2026-03-26 06:15:06.465	5.9
2026-03-26 06:16:07.052	5.4
2026-03-26 06:17:07.639	5.5
2026-03-26 06:18:08.232	5.8
2026-03-26 06:19:08.871	6.4
2026-03-26 06:20:09.440	5.9
2026-03-26 06:21:10.038	5.3
2026-03-26 06:22:10.750	5.2
2026-03-26 06:23:11.326	5.5
2026-03-26 06:24:12.256	5.1
2026-03-26 06:42:40.035	5.3
2026-03-26 07:00:07.725	4.8
2026-03-26 07:16:19.891	5.6
2026-03-26 07:44:10.801	5.6
2026-03-26 08:01:26.582	5.6
2026-03-26 08:18:56.014	5.4
2026-03-26 08:35:16.211	6.2
2026-03-26 08:51:37.387	5.2
2026-03-26 09:01:13.664	4.6
2026-03-26 09:02:14.225	4.4
2026-03-26 09:03:14.766	4.4
2026-03-26 09:04:15.312	4.4
2026-03-26 09:05:15.931	4.3
